pid,niceness,counter,case
10254,-20,4787035111,dif-nicess
10255,0,676529057,dif-nicess
10256,0,651373235,dif-nicess
10257,0,596327954,dif-nicess
10258,0,653244290,dif-nicess
10259,0,671912411,dif-nicess
10260,0,593472362,dif-nicess
10261,0,677294268,dif-nicess
10262,0,597411608,dif-nicess
10263,20,13699701,dif-nicess
10359,0,934600714,equal-niceness
10360,0,930277471,equal-niceness
10361,0,988023878,equal-niceness
10362,0,928208365,equal-niceness
10363,0,919384791,equal-niceness
10364,0,940400740,equal-niceness
10365,0,982824238,equal-niceness
10366,0,982268169,equal-niceness
10367,0,1012559719,equal-niceness
10368,0,986019104,equal-niceness
10087,-20,4684878573,staircase
10088,-15,3303648564,staircase
10089,-10,1133573478,staircase
10090,-5,371666349,staircase
10091,0,117894043,staircase
10092,5,40539478,staircase
10093,10,13743149,staircase
10094,15,6332979,staircase
10095,20,3157714,staircase
10096,20,2357644,staircase
